gram_0,gram_1
holy,books
wish,god
mocking,seen
pray,every
every,night
lit,candle
want,god
king,stannis
raised,blessed
could,never
know,read
think,fire
stannis,king
lord,janos
serving,king
might,find
half,city
gold,plated
queen,slaughters
even,decency
joffrey,even
imagine,would
want,hand
lying,bed
ripping,root
king,think
never,taken
jaime,repeatedly
none,jokes
back,ripped
bigger,joke
salladhor,saan
30,ships
experience,pirates
seem,wiser
salladhor,saan
gets,smell
well,job
lord,light
told,death
armies,toys
tell,lord
pray,commands
little,brother
men,whose
real,war
defeat,brother
take,king
seen,path
first,must
said,words
shut,away
transcript,err0001
theme,music
font,color
sync,corrected
took,baby
wildlings,serve
boys,craster
aye,many
life,death
like,need
something,take
wanted,give
mother,used
let,sit
father,put
gave,left
till,come
tasting,blood
old,nan
magical,people
inside,stags
along,much
dreamt,father
dreams,come
link,made
one,maester
signifies,studied
study,mysteries
boy,secretly
lift,dull
got,1
maybe,magic
children,forest
father,promised
seen,ser
never,quite
may,ask
ask,honor
one,seven
keep,safe
rise,brienne
grace,honor
sent,envoy
lord,winterfell
may,present
welcome,lady
swear,see
take,king
bring,joffrey
enough,know
kneel,approach
son,marched
sit,son
would,share
robb,stark
hide,behind
son,fighting
100,000
might,stormlands
young,bold
knights,summer
brienne,escort
would,pray
fought,bravely
soon,fight
please,brienne
last,time
looked,like
fat,little
wanted,see
wolf,pup
entirety,northern
tangling,lion
north,ripe
ironborn,reave
along,northern
spread,dominion
securing,neck
every,stronghold
winterfell,may
forest,field
yara,daughter
attack,deepwood
always,wanted
take,ship
give,30
father,fought
give,north
even,know
brothers,warriors
hands,seem
wonder,wiser
risk,going
rise,could
give,us
plow,fields
time,wolves
act,volunteered
gave,away
day,bent
gave,away
curse,come
father,bow
make,choice
ships,sail
let,leave
let,shh
300,miles
might,able
every,man
told,good
lion,wants
lion,wants
come,dangerous
sister,wants
look,weakness
language,bit
oh,stupid
stupid,foreign
joffrey,sansa
soon,darling
mother,says
ivory,since
sure,dress
counting,days
pledge,love
joffrey,going
even,sansa
know,needed
change,linens
scrub,floor
chamber,pot
lady,zuriff
well,know
city,handmaidens
time,answer
oh,thank
proper,shit
encountered,problem
stresses,power
two,drops
vast,knowledge
yes,course
crown,must
alliances,must
trusting,council
could,determine
oh,yes
shall,silent
brokering,alliance
princess,myrcella
comes,age
myrcella,sent
remember,queen
ooh,queen
love,conversations
plan,marry
grew,ward
fights,robb
convince,boy
greyjoy,destroy
remember,must
plan,wed
perhaps,promise
convince,let
offer,son
men,position
suppose,want
yes,could
gratitude,people
helping,end
adoration,king
never,took
means,tear
plan,make
single,stroke
greatest,lords
served,family
janos,slynt
need,deliver
need,janos
humiliated,enough
brienne,capable
another,tyrell
win,father
army,charm
vassals,starting
brides,usually
quite,bit
decide,like
say,beauty
want,brother
need,us
save,lies
enemies,happy
want,tear
best,way
however,else
really,think
would,say
let,ship
shipped,robert
dorne,safest
going,need
think,piece
ned,stark
safe,think
want,see
mount,pretty
theon,house
would,day
let,theon
dead,may
dead,may
rises,harder
appreciate,made
myrcella,marries
well,marry
suppose,table
leave,next
centerpiece,next
brother,jaime
would,see
robb,stark
would,like
filthy,old
disappoint,grand
loyal,told
send,myrcella
see,told
told,littlefinger
told,one
eunuch,spies
cut,manhood
long,spying
since,days
many,hands
lord,arryn
knew,truth
well,planned
tell,king
let,die
lannister,always
pleased,know
quite,well
seems,grand
found,way
well,played
janos,slynt
small,council
council,reputation
mean,follow
power,curious
three,great
king,priest
stands,common
great,man
gold,favor
sword,power
pretend,kings
ned,stark
decided,like
power,resides
cast,large
tomorrow,long
30,miles
drink,flavor
seen,pretty
made,damn
close,eyes
know,got
couple,years
saw,brother
much,villain
willem,lad
ran,anyone
watching,brother
picture,brother
oh,nice
good,white
one,dimpled
would,think
would,say
well,one
willem,came
buried,ax
willem,horse
wearing,black
help,sleep
get,lazy
things,go
run,along
want,fuck
come,move
ser,amory
men,capital
drop,weapons
name,king
always,hated
sweet,boy
help,us
put,em
fine,little
maybe,pick
take,back
something,wrong
looking,bastard
start,taking
sync,corrected
theme,music
font,color
sync,corrected
mean,pick
bull,fangs
right,mountain
stabbing,renly
horses,seem
get,spooked
oh,right
yeah,even
king,north
five,lannisters
nowhere,keep
barely,enough
executing,prisoners
may,privy
well,learn
family,say
flayed,man
father,outlawed
high,road
hard,time
lannisters,hold
give,excuse
shh,shh
want,cripple
surely,one
men,men
put,mouth
better,biting
want,know
know,family
boy,lost
think,friends
fisherman,son
probably,never
shoved,one
help,foot
us,surrender
life,would
good,king
going,kill
go,back
desire,sit
fighting,overthrow
yet,plan
first,win
