gram_0,gram_1
would,even
root,one
repeatedly,according
jokes,ever
ripped,mother
saan,join
ships,men
pirates,prefer
saan,old
smell,gold
light,shines
death,fire
toys,lord
brother,hundred
whose,allegiance
war,side
king,landing
path,victory
must,give
err0001,geirdm
color,00ff00
corrected,font
baby,woods
serve,crueler
many,time
need,men
sit,chamber
put,stop
blood,mouth
nan,used
people,could
stags,birds
made,valyrian
maester,100
studied,higher
mysteries,try
secretly,wish
dull,life
1,000
magic,mighty
ser,loras
ask,anything
honor,place
seven,pledge
honor,bring
envoy,son
winterfell,king
present,wife
see,lannisters
know,justice
marched,tywin
son,war
stark,wants
behind,mother
000,men
bold,like
summer,winter
escort,lady
bravely,today
like,fat
pup,gone
northern,army
reave,pillage
dominion,across
stronghold,yield
may,defy
daughter,take
ship,raid
30,get
fought,robb
seem,eager
going,north
could,destroy
us,casterly
fields,toil
wolves,made
bent,knee
away,like
choice,theon
shh,shh
able,bring
man,tasted
wants,see
says,new
dress,beautiful
days,fighting
love,king
going,kill
needed,new
linens,wash
floor,empty
know,things
handmaidens,wait
answer,1
shit,six
drops,water
knowledge,wisdom
must,forge
must,often
determine,future
alliance,house
myrcella,wed
age,ensuring
sent,away
conversations,begin
marry,princess
boy,come
destroy,northern
must,tell
wed,princess
promise,royal
let,bygones
position,holding
want,broker
could,sing
king,bringing
took,superstitious
make,lord
stroke,make
family,well
slynt,given
deliver,lysa
tyrell,requires
starting,snigger
usually,virgins
brother,come
us,play
tear,us
think,let
need,support
piece,paper
stark,piece
think,myrcella
see,raped
pretty,little
day,consecrate
may,never
may,never
made,fool
marries,martell
marry,robin
jaime,rots
stark,never
like,see
told,queen
told,varys
littlefinger,planned
one,offering
manhood,feed
days,mad
hands,betrayed
die,made
always,served
know,mutual
well,lady
way,black
played,lord
council,grows
reputation,serving
follow,ned
curious,thing
great,men
priest,rich
man,bids
power,life
kings,hold
stark,lost
resides,men
miles,piss
got,something
brother,stabbed
anyone,could
brother,face
nice,looking
dimpled,chins
say,name
came,riding
ax,deep
horse,got
black,ever
lazy,sons
go,wrong
along,north
amory,lorch
capital,requested
weapons,name
boy,help
wrong,leg
bastard,named
corrected,font
color,00ff00
corrected,font
pick,bull
fangs,claws
mountain,man
renly,baratheon
seem,little
right,little
north,king
lannisters,dead
enough,food
prisoners,lord
privy,tywin
learn,soon
say,naked
outlawed,flaying
time,marching
excuse,abuse
one,men
biting,tongue
know,side
lost,foot
friends,king
son,grew
never,held
one,hands
foot,grow
surrender,end
would,righteous
sit,iron
brother,latest
traitor,brother
lancel,tell
fell,stafford
good,men
would,send
insists,keeping
robb,stark
knight,beats
serves,king
blood,pretty
get,girl
brother,battle
jaime,ever
threatens,grace
next,time
king,joffrey
stark,may
dipping,wick
nothing,day
left,nameday
get,money
much,pain
kept,waiting
brother,body
words,come
tent,one
comes,without
many,friends
believe,ned
marching,king
throne,hope
give,priority
today,seeking
find,facing
kind,would
weeks,learn
walked,officers
learn,tent
kings,vying
arithmetic,favors
would,rule
brother,entering
kingsguard,king
quite,interested
wealthy,girl
notion,marriage
king,king
time,qartheen
fire,melts
three,days
someone,every
heard,false
serve,protector
fate,given
queen,know
trade,daughters
lannister,two
never,agree
keep,secrets
surprised,skills
get,another
tyrion,lannister
understand,exchange
beside,family
stares,every
stark,thought
would,terribly
heart,lord
must,fire
found,religion
really,believed
rigid,bore
amidst,salt
amidst,salt
mine,would
find,beside
eddard,integrity
beside,pretender
throne,mine
realm,denies
men,deny
children,deny
wanted,friends
without,friends
mother,bore
one,night
old,seat
across,fields
bolts,cloth
holding,bolts
dawn,shall
sins,lord
dark,full
dothraki,horde
stormborn,house
merely,humble
name,quite
impossible,foreigners
governance,protection
people,fed
alive,seen
matter,limited
us,us
dothraki,savages
us,away
fear,little
xaro,xhoan
threatens,burn
invite,cup
watch,people
without,dooming
take,lord
till,tomorrow
manned,afford
young,bodies
carve,lungs
release,grand
mulled,wine
release,prisoner
instructions,directly
long,deliver
regent,gives
must,great
regent,great
works,dusk
loved,lavender
lord,tywin
place,court
legs,spreading
yes,must
told,obey
ever,need
us,drink
back,tell
nothing,without
keep,pet
swear,harmed
strictly,speaking
within,one
life,good
less,fingernails
fewer,fingernails
act,wash
tried,teach
woman,told
forgotten,smuggler
within,law
ways,cleaner
ways,win
dark,full
unpleasant,cargo
man,ser
parts,mixed
onion,black
see,beneath
live,dark
god,ser
corrected,font
pup,gone
ship,raid
could,make
honor,jaqen
something,take
serve,crueler
know,cersei
girl,dressed
one,night
sins,lord
dark,full
forgotten,smuggler
ashore,red
must,know
color,00ff00
corrected,font
interest,iron
reason,hostility
go,calling
dominion,lands
swears,oath
stark,swore
friendship,held
destroy,brother
houses,always
luck,debating
bring,terms
could,end
king,tent
renly,bannermen
companions,fight
back,highgarden
tarth,murdered
sword,righteous
found,purest
put,sword
pieces,sets
king,make
implicate,catelyn
others,say
say,well
renly,army
give,stannis
says,outspend
father,raised
baratheon,coming
sealing,daughter
know,concerned
sweet,innocent
taking,personal
ask,specifically
specifically,may
sensitive,information
make,jaime
money,would
unnatural,urges
one,way
pots,already
launch,city
lannister,solemnly
lancel,tell
kill,anything
kill,anything
let,know
speak,saw
made,clear
known,need
known,hide
bannermen,come
tyrells,fled
shall,sitting
company,men
short,work
troops,doorstep
king,landing
thought,reason
service,means
whispers,orders
king,landing
fleet,blackwater
honored,time
evading,ships
truths,cut
never,actually
humiliated,robb
hold,city
joffrey,planning
fornicates,sister
fruit,incest
king,prancing
twisted,demon
think,pulling
shore,raid
done,jobs
left,balon
got,much
got,much
job,captain
drag,back
set,sail
would,wait
row,dump
na,respect
poor,fishing
task,father
true,iron
shore,far
prize,fishermen
never,hold
winterfell,got
would,send
men,horses
understand,winter
report,growing
harvest,crops
spies,snuck
report,growing
stark,boy
mind,warfare
keeps,winning
believing,king
even,let
sure,wife
better,start
change,mind
pots,cook
maidenpool,girl
crossed,longaxes
robb,stark
rides,battle
turn,wolf
keeps,mouth
may,talk
god,takes
may,pay
three,deaths
us,blown
halfhand,spent
skirling,pass
sickening,man
took,westeros
please,stop
thousands,years
men,stood
like,first
people,find
came,get
blast,rangers
blow,horn
000,years
live,another
reading,old
wildfire,cock
wood,stone
burns,hot
died,wildfire
tell,many
pushing,carts
grand,claims
fire,given
since,days
put,catapults
get,real
hit,target
soldiers,riverlands
ever,seen
get,bit
flinging,things
right,back
die,men
fire,inside
poor,cunts
dare,insult
aerys,targaryen
win,wars
tirelessly,day
since,royal
burn,stannis
concur,advisor
room,could
wildfire,sister
dress,xaro
wealthiest,man
wealthiest,city
time,rich
host,know
like,talk
look,like
visit,night
night,market
think,night
says,statue
says,malakko
gems,rest
used,say
things,better
good,killing
closely,enough
tired,xaro
honor,host
pree,one
die,slow
go,squint
lips,blue
mormont,bear
true,protectors
come,day
wonder,born
fire,made
son,camp
enough,tell
died,birthing
back,amongst
leave,go
great,army
sworn,keep
nothing,one
enemies,robb
comes,hold
old,gods
shall,always
old,gods
night,kill
sons,away
told,go
watch,day
two,orphan
always,prayed
going,go
square,barely
strike,far
raiding,party
sellswords,paid
men,away
200,decent
studying,books
mean,anything
little,lord
three,eyed
sea,came
waves,crashing
came,flowing
hundreds,miles
get,potatoes
sorts,crazy
sitting,around
us,coming
mance,rayder
gathered,like
ready,make
fall,back
na,teach
away,hit
get,rid
move,fast
commander,like
first,lord
let,old
bloody,take
defense,tough
take,jon
hope,make
always,tell
narrow,sea
conquer,seven
throne,mine
docks,like
someone,normally
xaro,zhoan
vault,made
steel,make
greatest,locksmiths
gold,could
offer,greatest
home,empty
us,say
buy,horses
father,never
give,seven
right,daenerys
sea,army
kingdoms,war
false,kings
westeros,need
trust,cutting
rest,lives
men,become
ships,soldiers
carefully,hard
gates,qarth
opportunity,seems
cover,deny
come,go
need,westeros
ship,good
corrected,font
think,let
warlocks,qarth
honor,host
king,make
get,rid
move,fast
commander,like
three,deaths
tortures,everyone
shore,far
prize,fisherman
winterfell,got
would,send
stark,torrhen
square,barely
men,floating
color,00ff00
corrected,font
downloaded,www
men,walls
bringing,people
carefully,want
us,whole
winterfell,prince
know,steaming
little,lord
donned,ancient
king,iron
north,well
loyally,served
luwin,send
deepwood,motte
bring,500
serve,lord
finally,learned
fighters,kitchen
stark,put
come,swallow
one,way
two,got
rodrik,grieves
less,honor
robb,thought
fighting,stark
died,fighting
stark,raised
house,faithfully
man,keep
make,hasty
sentence,swing
commands,anymore
harm,would
harm,would
words,old
help,theon
day,hunt
said,know
nice,cave
good,men
always,said
thinking,know
going,end
north,going
given,great
thing,give
gift,south
know,damn
wall,gave
us,little
us,feel
find,goat
detailing,infantry
lord,damon
lord,marlyn
fetch,history
dormand,owe
000,men
might,good
put,son
book,away
devise,next
directly,renly
late,king
love,blame
opportunities,lost
first,man
insights,brought
command,largest
fertile,seven
yet,declared
tyrell,rebelled
robb,stark
represent,family
host,returned
wildling,bite
half,chance
us,build
maybe,need
already,killed
king,could
would,never
might,see
going,jon
seven,guide
mother,give
crone,give
warrior,give
day,pray
eyes,see
know,like
like,little
brother,cried
get,prince
grace,give
blind,bloody
kings,idiot
cow,pie
never,get
quite,bit
fucked,little
men,go
take,back
king,second
could,avoided
wealthiest,man
drogo,gone
young,widow
sleep,sun
hair,true
xhoan,daxos
yet,say
pepper,back
lady,far
lady,alive
offer,something
alive,bring
talent,drama
better,servant
cross,narrow
spices,one
times,retake
correct,say
every,trade
shall,repaid
seize,seven
rise,fight
investment,based
illyrio,mopatis
gave,three
centuries,since
fire,would
fire,people
trust,logic
stormborn,blood
son,jaime
came,one
said,heard
hours,every
man,nearly
wood,fire
named,second
tell,man
make,thing
customs,still
keep,rules
noble,birth
find,someone
father,sold
brother,lived
accuse,lady
thought,brilliant
discuss,troop
spy,would
time,course
look,positively
free,follow
go,farther
could,kill
warmer,stay
never,trust
war,win
king,hold
go,talk
holds,castle
send,word
hundred,men
way,back
would,honored
son,bran
want,brought
look,eye
would,trust
things,free
eats,better
king,refuses
king,offers
find,work
richest,man
path,poverty
many,things
man,would
corrected,font
movie,subtitles
independent,kingdom
starks,reply
brother,starks
winterfell,prince
richest,man
color,00ff00
corrected,font
halfwit,escape
along,wildling
get,horses
barking,come
hunting,seems
boy,torn
soon,enough
far,value
sent,force
stark,always
barking,man
maester,look
given,whatever
two,winterfell
tracks,us
climbs,tree
seen,climb
time,pressed
heard,get
maybe,lads
would,please
woman,free
prisoner,free
pay,want
getting,naked
raid,lands
kill,little
came,along
come,way
20,men
name,want
name,band
rebels,behind
like,fools
dead,every
thought,talent
villages,burn
know,means
manners,refuse
underfed,whole
position,lost
five,kings
determined,coming
black,thought
fortress,ever
towers,strongest
hall,35
built,withstand
men,could
men,would
air,dragon
sons,roasted
targaryen,changed
child,alive
targaryen,great
steel,sword
valyrian,steel
ever,met
many,stonemasons
girls,say
served,lady
speak,proper
need,courage
joy,scare
eddard,stark
dragons,would
look,inside
buy,buy
help,get
xaro,xhoan
thing,happen
many,times
savages,live
steel,good
tried,tell
serving,shit
mance,rayder
live,whole
commands,old
show,streams
cabin,find
would,claw
nothing,jon
man,held
every,distant
paper,half
karstark,see
alton,pen
build,new
run,supplies
yolks,turpentine
fennel,root
need,milk
like,amputate
help,finding
crag,negotiate
maester,show
wounded,men
children,come
barking,man
start,search
spending,rest
like,fool
pampered,little
old,man
people,red
let,1
day,khal
westeros,know
dragon,banners
survive,world
long,till
old,master
backside,like
open,angry
marry,perfumed
savage,father
voice,turn
voice,tell
going,word
talk,without
sees,joffrey
told,thought
bear,children
little,princes
birth,labored
would,hear
husband,would
maester,pycelle
jaime,allowed
never,love
share,womanly
fool,make
perhaps,gotten
day,willem
willem,frey
gotten,drunk
needed,go
men,big
think,back
line,dirt
balon,swann
shield,handed
go,sit
far,edge
barely,even
tell,like
could,never
replace,someone
able,fight
step,without
take,16
useless,anything
stark,imagine
prisoner,right
prisoners,breed
must,sail
close,doom
please,mother
king,leave
ago,threatening
death,misery
pree,cruel
arrangement,king
keep,gates
remain,greatest
dragons,size
often,come
wait,house
without,invitation
liege,lord
crag,accept
gone,crag
lady,act
son,king
men,make
fighting,behalf
every,chain
real,wolf
decided,stand
times,read
baratheon,fleet
tarth,200
within,five
mind,would
make,point
start,acting
started,coming
city,wants
giving,boy
girls,might
put,leash
hoped,like
drunken,fool
brother,sister
would,say
ned,stark
targaryens,went
time,targaryen
myrcella,good
returns,dawn
kingslayer,last
die,defending
orders,orders
say,goodbye
last,night
old,lord
every,vow
king,obey
innocent,defend
forsaking,one
targaryen,second
seven,kingdoms
poor,old
home,whore
lord,eddark
would,happen
question,whether
corrected,font
maester,luwin
deepwood,motte
bring,500
fleet,blackwater
get,away
really,think
know,like
love,someone
halfwit,escape
along,wildling
run,supplies
crag,negotiate
lord,karstark
wait,house
would,happen
new,lord
color,00ff00
corrected,font
rider,approaching
great,castle
gave,tougher
six,year
stark,boys
prisoners,home
boy,prisoners
cunt,killed
northerners,would
defend,winterfell
hundreds,miles
man,north
time,never
like,dying
present,lord
got,one
want,question
killed,half
winterfell,ned
want,dead
back,went
tracks,fast
calling,water
thought,could
man,ever
children,always
always,think
lord,like
plowing,fields
scrubbing,floors
woke,fear
bed,fear
man,brave
charwomen,scrubbing
much,gold
fighting,war
men,following
safe,lannisters
joffrey,head
neighs,hoofbeats
rickon,captives
arya,captives
children,one
one,son
father,would
graves,step
buy,life
buy,life
lannister,played
sure,guarded
men,send
another,40
lannister,casterly
knight,right
way,king
well,get
give,offense
past,forgiveness
harmed,harmed
ever,told
could,beat
men,kingdoms
men,like
knocking,men
pardon,woman
one,day
king,landing
king,joffrey
ride,west
seeing,heads
runs,king
two,days
assure,us
movement,lured
done,us
risk,marching
never,lost
full,night
maintain,garrison
proven,good
get,drunk
killed,ser
2,told
yoren,little
come,time
sour,cherries
em,real
tywin,marching
riding,gates
neighing,men
mance,gon
brother,inside
1,000
knowing,men
skip,snow
better,trusting
keep,hands
wearing,gold
wear,gold
like,common
hard,move
easy,spot
sneaking,alleyways
wearing,gold
want,cleaning
plan,defense
great,sieges
books,good
cloaks,performance
marked,drop
marked,drop
rounded,known
thieves,need
fighting,kills
ladies,sell
get,bad
gates,sealed
richest,men
extreme,measures
archmaester,ch
knows,king
ram,batter
attack,mud
throw,books
imagined,meself
latrine,pits
anything,much
edd,lack
think,jon
man,would
valyrian,steel
halfhand,greatest
rangers,never
last,long
men,made
thing,pretend
cause,wanted
owes,one
army,attack
promised,lovely
new,gods
gives,man
require,one
bargain,fine
girl,must
friends,walk
sympathy,odd
away,kitchen
joffrey,plans
king,shining
defend,capital
boys,fighting
gift,sort
possess,average
send,eldest
armor,gold
fight,fiercely
hiding,behind
fool,every
married,one
always,pays
one,hears
lannister,lion
hide,secret
important,thing
better,liar
treated,gently
wound,suffers
alive,could
death,little
mandon,bring
come,think
turn,ashes
castle,theon
castle,dare
escaping,north
return,safely
mercy,virtue
exception,theon
countrymen,turn
considered,closest
war,know
whole,lives
proper,little
harp,dance
hear,play
reciting,valyrian
father,went
volantis,last
day,three
inside,ran
child,volantis
screaming,racing
playing,coppers
worked,fishing
push,highborn
man,terrible
pressing,brother
cradled,head
two,things
dances,masquerades
never,live
marry,frey
pie,sour
nice,warm
important,part
fight,us
holds,reach
promises,wind
fools,call
coat,fly
mermen,tridents
older,families
sons,lords
storm,end
fought,bravely
fought,mad
men,insult
ned,stark
rebels,marching
towns,yoke
storm,end
storm,end
never,fought
anyway,castle
right,little
man,storm
told,hold
older,brother
king,every
iron,throne
first,crabber
little,birds
theon,greyjoy
nephew,see
stannis,baratheon
stannis,lands
men,line
stannis,never
think,intelligent
one,disputes
could,converse
youngest,kingsguard
became,queen
put,charge
never,flowed
found,way
expected,real
named,acting
good,hand
arryn,ned
breaches,gates
burns,enemies
light,wants
god,wants
fertility,goddess
qarth,beyond
edge,world
game,time
owns,city
flee,without
call,mother
love,grow
place,never
damn,message
let,em
keep,man
far,farm
stream,throw
would,last
lads,suffered
corrected,font
burns,hot
tell,many
making,grand
deal,pig
future,could
fire,god
joy,scare
joy,kill
eldest,son
fight,fiercely
beside,instead
two,days
assure,us
casterly,rock
nephew,understand
stannis,never
holds,reach
promises,wind
knows,king
attack,mud
color,00ff00
corrected,font
us,straight
landing,home
life,dodging
anymore,high
several,royal
sit,iron
one,watches
king,landing
see,head
outnumber,10
outnumber,five
stranger,come
falls,stannis
said,met
wishes,house
always,wise
duties,become
back,days
drop,cup
soothe,ragged
drops,bring
10,drops
may,ask
many,brave
stairs,grand
singing,♪
lord,castamere
weep,er
one,hear
yes,rains
weep,er
smacked,iron
scrap,older
want,know
one,us
keep,us
imp,gon
king,city
name,every
sure,entirely
20,miles
built,city
sounds,captain
sure,many
well,suited
birds,tell
red,priestess
old,powers
spells,curses
ever,told
arts,provided
service,powers
known,bells
play,music
remember,wait
brother,chopping
kill,man
time,fancy
sansa,uh
sister,asked
ladies,maegor
joffrey,sent
safe,return
rides,forth
fool,enough
gates,fighting
plans,stupid
brother,robb
never,come
ones,always
tell,hand
lancel,tell
king,would
hound,cut
half,able
stannis,baratheon
iron,throne
head,atop
much,liked
see,removed
varys,knows
hates,less
little,dove
flower,still
lady,sansa
fall,first
caught,groom
horse,gold
heads,spikes
keep,small
certain,fear
ever,hope
drums,beating
2,hold
played,little
come,little
oh,shut
gods,mercy
told,caught
understand,concept
would,return
face,1
become,joffrey
brother,somehow
keep,hold
enough,go
lord,stannis
else,outside
hoped,private
chance,seducing
falls,fine
tits,looks
man,stannis
form,welcome
touch,solid
run,king
fucking,arrows
second,squads
man,dies
father,tell
never,understand
taught,fight
stranger,like
curtsy,ever
lady,sansa
years,ago
commoner,red
years,without
us,story
set,river
ships,burning
outside,city
presence,good
mocked,coward
ser,ilyn
may,take
command,go
beat,back
2,put
2,heave
2,heave
sent,bring
boros,ser
uncle,represent
archers,hold
man,2
3,leads
mandon,bear
behind,fuck
grunting,man
honor,fight
stannis,means
cloaks,saw
escort,back
gentle,mother
font,mercy
save,sons
gentle,♪
chamber,bar
say,goodbye
said,rape
♪,save
get,used
one,mother
lived,mother
could,hear
said,lion
day,beasts
bow,ts
north,foxes
sky,beasts
crown,upon
fierce,like
fierce,like
shouting,man
corrected,font
proud,lord
must,bow
cat,different
truth,know
coat,gold
lion,still
mine,long
long,sharp
spoke,spoke
lord,castamere
rains,weep
one,hear
yes,rains
years,ago
get,away
lannister,played
arya,captives
may,buy
owes,one
name,help
friends,walk
far,farm
would,last
castle,theon
castle,dare
escaping,north
countrymen,turn
gon,na
brother,inside
1,000
better,trusting
marry,frey
place,never
corrected,font
like,something
traitor,stannis
stunning,defeat
house,baratheon
lannister,savior
petyr,baelish
houses,lannister
shall,granted
beyond,words
acquire,sons
would,ask
ask,find
great,honor
taken,root
heard,tales
honor,return
must,keep
judgment,small
neither,proper
daughter,man
whose,brother
sansa,stark
like,heed
indeed,hold
loras,gladly
enough,many
enjoy,ways
sort,boy
one,us
like,tell
true,talents
satisfy,royal
collection,profitable
employer,hides
two,must
wished,one
know,feels
served,father
one,gave
work,northern
make,proud
tonight,swing
women,would
got,stuck
reason,gone
tullys,dungeons
go,river
gave,quick
kingslayer,looks
woods,threw
take,king
frey,dangerous
secret,passion
walder,frey
oaths,recklessly
lived,life
saw,victory
god,blackwater
men,gates
behind,tywin
much,flames
light,allows
war,lost
everything,held
aside,pretender
many,arrows
horn,blowing
wise,bald
explaining,siege
time,saw
time,saw
ned,stark
stood,chance
stark,went
frozen,pile
like,told
back,home
gods,new
fucking,god
northmen,wait
make,back
lines,made
10,feet
passageways,built
watch,ancient
jon,snow
make,amends
many,years
far,pretend
good,fuck
every,ironborn
bleeding,100
necks,spears
cries,echo
islands,slipped
man,woman
warriors,cry
onto,shores
name,sons
think,us
kills,fucking
bronze,shores
may,never
mandon,moore
save,life
bronn,tell
cloaks,outside
cloaks,firmly
paid,quite
swim,close
faced,certain
poor,little
loves,make
wars,fighting
take,boat
sister,bad
anything,ever
seal,two
upon,one
frighten,magic
taking,new
learn,must
away,across
master,special
many,names
cersei,tywin
offer,red
offer,one
find,brother
comes,must
coin,man
us,medicine
much,food
let,mother
faces,almost
great,love
blow,wind
thousand,thousand
home,daenerys
knows,make
say,might
like,baby
mance,rayder
killed,qhorin
one,coming
along,jon
meet,king
never,leave
xaro,xhoan
1,000
enough,buy
coming,north
burn,shit
see,tree
got,hope
gilly,find
corrected,font
get,back
color,00ff00
corrected,font
time,seen
shy,get
pound,man
look,crow
crows,want
fathers,slap
grim,jon
rayder,likes
want,question
killed,qhorin
handed,cunt
told,big
put,swords
boy,jon
kneel,every
anyone,beyond
gift,lord
eater,thought
commander,sent
lead,one
king,beyond
join,us
one,last
craster,keep
craster,take
make,desert
years,ago
white,walkers
fight,side
find,new
leave,something
never,much
backing,away
matter,life
wooden,door
lost,nose
cut,lost
came,joffrey
rebel,tried
comedown,chamber
need,much
maester,pycelle
proud,funny
whisperers,owes
arriving,king
face,split
servant,girl
eye,remember
plan,telling
tell,lies
look,two
beating,little
appreciate,walk
people,city
commander,city
taste,finer
know,much
ser,serving
true,king
30,ships
lies,bottom
great,fire
dragonstone,good
could,carve
alive,little
four,wedding
bones,little
widow,wear
siege,lines
tywin,lannister
running,us
going,get
northmen,slaughtered
remain,free
chamber,serve
real,power
assume,want
visit,beloved
forgot,visit
pycelle,assured
court,ruins
foray,enemies
fear,behind
dark,little
bloody,gratitude
singers,require
demanded,garland
time,suffered
eldest,son
forbidden,marriage
jaime,put
claim,casterly
right,given
let,consumed
heir,casterly
mother,come
made,spiteful
envy,lust
laws,give
colors,since
humility,gods
waddle,wearing
compel,let
rights,casterly
whore,catch
bring,back
tired,risking
landing,lords
drunk,better
winter,beautiful
people,dorne
blurt,right
story,know
either,terrible
speak,lady
mother,long
king,landing
far,away
ready,leave
shadow,father
born,rang
girls,like
unsullied,greatest
slave,soldiers
means,good
lovely,day
dothraki,ever
across,poison
follow,strength
khalasar,prove
speak,alone
punish,infidels
people,gods
set,foot
killed,men
would,sit
king,leave
dungeon,lock
darkness,ser
like,speak
came,blackwater
men,wanted
things,father
weak,uphold
whatever,need
might,rather
bit,forgiving
bring,shawl
us,tyrells
queen,gown
seen,anything
find,bit
tells,stopped
back,sept
great,deal
among,us
heart,get
ago,attacked
complement,guards
barely,escaped
always,penchant
become,less
never,truly
turns,men
house,tyrell
100,wagons
barley,apples
duty,assist
ser,loras
margaery,done
stood,day
day,drill
boy,four
bravest,men
says,unsullied
attend,carefully
good,master
points,men
must,go
newborn,kill
master,says
babe,mother
watches,pay
would,like
kraznys,asks
000,dead
slaves,better
kraznys,men
properly,fed
greatest,fighters
corrected,font
one,marksman
inside,wolf
pour,black
black,magic
even,knows
eyed,raven
wall,long
row,across
think,marry
thought,marry
guess,one
manacles,lay
bolton,bastard
everyone,put
may,taken
long,going
king,landing
one,foot
back,lady
matter,loyal
enjoys,company
serving,since
lady,stark
around,rest
journey,order
stark,unhappy
lady,stark
noticed,dour
12,course
court,since
hardly,escape
corridors,embroidered
like,quite
curly,haired
worst,kept
throne,made
like,safe
lady,stark
like,tyrell
margaery,wedding
lords,burn
think,rebelling
well,common
go,way
tyrell,dotes
like,harlot
traitor,known
renly,baratheon
renly,baratheon
ask,need
interest,loved
want,one
ser,loras
margaery,invites
grow,beautiful
remember,first
tourney,gave
olenna,house
heard,lord
gave,notion
brave,gentle
men,horses
think,wits
two,sons
cream,back
bring,food
less,boring
late,lord
ride,cliff
mind,horse
riding,lion
would,know
farts,smells
heart,gentle
served,cakes
served,want
always,told
traitor,took
would,merciful
walls,made
make,say
never,betray
margaery,shall
edmure,forces
still,got
till,snows
fact,got
speak,mind
mind,lord
help,lady
one,children
son,bran
boys,came
luwin,said
ragged,little
brought,baby
gods,take
worst,woman
poor,innocent
husband,give
playing,us
wildling,blood
takes,unite
want,massacre
seven,different
hate,ice
hates,cave
got,moon
mind,animals
brothers,killed
em,torn
stop,probably
walkers,came
like,piggy
well,go
sure,gets
snaps,wolf
another,step
want,drown
long,way
would,please
h,ghar
kill,three
got,us
red,fork
lion,still
pie,minstrel
jump,tie
spoke,spoke
lord,castamere
weep,er
lurking,behind
dirty,little
one,left
young,ones
castle,forged
hear,two
girl,escaped
us,back
nothing,fear
westeros,want
brown,bread
falling,fat
move,done
country,starving
reason,half
make,idle
would,high
know,many
know,one
well,judgmental
beauty,old
force,open
guard,lady
quite,change
encampment,place
speak,ill
one,ought
merely,sword
politics,often
wanted,make
late,night
much,wine
hear,say
one,finest
lever,draw
take,hunting
hunt,place
would,never
bring,glory
tonight,castle
things,happened
happened,long
happening,right
age,needs
na,find
always,need
time,life
father,life
never,liked
good,drink
stole,us
fought,way
awhile,see
waits,drink
bridge,risk
water,current
watch,wrestle
feet,walk
used,ride
around,like
shit,boots
understood,knights
fail,lady
like,woman
man,house
willem,frey
us,go
buy,new
north,hears
go,taking
unsullied,greatest
slave,soldiers
westeros,want
tonight,castle
selmy,kingsguard
mind,animals
sure,gets
us,go
buy,new
color,ec14bd
situation,one
mill,may
mouth,damned
knows,meant
wave,blunders
sent,tywin
back,casterly
king,robb
enough,go
garrisoned,across
draw,mountain
could,surround
done,mad
strategic,thought
martyn,lannister
man,lost
men,tywin
today,gathering
running,short
chairs,old
000,unwashed
control,spies
stark,bannermen
grandfather,lord
absence,roose
seem,make
useless,pile
harrenhal,make
arryn,known
courtship,would
seem,breed
eyrie,soon
lysa,arryn
wolf,add
hinder,true
baelish,absence
wedding,may
event,living
ended,hard
time,leave
new,master
appear,position
good,spending
prove,equal
lifted,high
sniffed,roared
kicked,wailed
licked,honey
black,brown
smelled,girl
bear,bear
never,would
match,would
hearing,jaime
chains,past
good,people
people,love
camp,tonight
fellows,ever
forge,could
us,prisoner
safe,ned
good,bow
anyone,ever
see,man
like,every
one,ugly
brown,bread
thoros,keeping
bye,hot
could,almost
comforts,think
never,said
stubborn,old
stop,calling
people,calling
remember,real
time,would
little,cat
day,sun
times,bran
across,moors
remain,strong
anyone,got
far,betting
big,gamble
fighting,men
lord,commander
orell,20
castle,black
going,war
near,castle
signal,hit
big,old
eagle,wall
going,light
flock,went
feed,pig
pig,got
away,godly
cloaks,bloody
left,right
tell,bite
right,gave
lord,iron
yet,fires
robb,stark
burn,low
magic,requires
punishment,warning
man,sentenced
sellswords,pentos
sit,throne
blood,hands
enemies,blood
wars,fought
landing,sack
children,old
put,sword
cities,sword
men,kill
rhaegar,led
beside,last
fought,valiantly
well,ser
ears,mishear
000,unsullied
still,training
greizhen,says
shame,upon
boys,pick
kraznys,says
buy,100
left,worth
master,kraznys
worth,cost
kraznys,give
kraznys,asks
7,877
throne,dragons
bargain,well
dragon,worth
advice,ever
name,missandei
walk,punishment
water,one
master,kraznys
go,hungry
men,must
place,keep
owe,boy
release,queen
sort,special
queen,get
time,heard
easy,make
like,dull
reading,dull
share,finest
history,seven
lord,twatbeard
consultation,colleague
found,suitable
specializes,first
second,timers
enough,repayment
killer,face
four,women
proper,meereenese
failed,address
crown,needs
pay,back
owes,millions
grandson,ass
world,strangely
upon,period
repay,loans
way,another
return,conquering
got,money
much,give
trying,curry
known,whore
enough,take
na,fuck
way,home
big,bitch
wet,lot
catelyn,stark
ser,jaime
stark,treasonous
take,kingslayer
dumb,bitch
lord,selwyn
na,cut
selwyn,would
word,fancy
forced,study
practice,sword
hours,every
lot,fancy
weight,gold
man,till
bravely,losing
together,man
need,keep
ser,jaime
wanting,something
got,spare
bird,carving
alive,bow
color,ec14bd
black,brown
three,boys
danced,spun
sweet,pure
maid,honey
smelled,summer
maid,honey
black,brown
smelled,girl
bear,bear
oh,maid
never,dance
called,knight
black,brown
black,brown
smelled,girl
bear,bear
us,prisoner
safe,ned
far,away
harrenhal,make
long,way
feed,pig
way,home
kraznys,says
