season,episode,line_number,start_time,end_time,lines
2,1,146,"00:09:25,255","00:09:28,890","the King might just get
his Uncle Jaime back.
"
2,1,147,"00:09:30,593","00:09:32,093","How?
"
2,1,148,"00:09:32,128","00:09:33,695","You love your children.
"
2,1,149,"00:09:33,729","00:09:35,229","It's your one
redeeming quality.
"
2,1,150,"00:09:35,263","00:09:38,198","That and your cheekbones.
"
2,1,151,"00:09:38,233","00:09:41,067","The Starks love
their children as well.
"
2,1,152,"00:09:41,102","00:09:43,703","- And we have two of them.
- One.
"
2,1,153,"00:09:45,306","00:09:48,274","- One?
- Arya, little animal-- she disappeared.
"
2,1,154,"00:09:48,309","00:09:51,344","Disappeared?
What, in a puff of smoke?
"
2,1,155,"00:09:53,080","00:09:56,416","We had three Starks
to trade.
"
2,1,156,"00:09:56,450","00:09:59,186","You chopped one's head off
and let another escape.
"
2,1,157,"00:10:00,088","00:10:02,188","Father will be furious.
"
2,1,158,"00:10:03,257","00:10:04,858","It must be odd for you...
"
2,1,159,"00:10:07,362","00:10:09,663","to be the disappointing child.
"
2,1,160,"00:10:14,870","00:10:17,138","<i>( Crow cawing )</i>
"
2,1,161,"00:10:17,173","00:10:21,009","Leadranach: <i>My Lord, may the Old Gods</i>
<i>watch over your brother</i>
"
2,1,162,"00:10:21,044","00:10:23,712","<i>and all our northern sons.</i>
"
2,1,163,"00:10:23,747","00:10:27,716","<i>The walls of my Holdfast</i>
<i>will not stand the winter.</i>
"
2,1,164,"00:10:27,751","00:10:31,620","The stones were last mortared
in the time of King Aerys,
"
2,1,165,"00:10:31,654","00:10:34,022","and I'm afraid
the masons today
"
2,1,166,"00:10:34,056","00:10:37,792","are not fit to carry
their fathers' hammers.
"
2,1,167,"00:10:37,826","00:10:40,227","When I was a boy,
I remember seeing them
"
2,1,168,"00:10:40,262","00:10:44,831","<i>put up a new tower</i>
<i>at Torrhen's Square in a summer.</i>
"
2,1,169,"00:10:44,866","00:10:46,967","<i>Men worked back then.</i>
"
2,1,170,"00:10:47,001","00:10:49,903","Today, my Holdfast
looks like it was built
"
2,1,171,"00:10:49,938","00:10:52,172","by drunk children.
"
2,1,172,"00:10:52,207","00:10:56,344","At night you can hear the wind
howling through the gaps.
"
2,1,173,"00:10:56,378","00:10:58,346","<i>And the Gods</i>
<i>forbid it rains.</i>
"
2,1,174,"00:10:58,380","00:11:01,616","Why, I might as well sleep
beneath a waterfall.
"
2,1,175,"00:11:01,650","00:11:03,285","Luwin:
<i>Maintenance of a Holdfast</i>
"
